,question_id,correctly_answered,incorrectly_answered,not_answered,avg_marks_correct,avg_marks_incorrect,avg_marks_na,f1,f2
0,1,144,91,34,30.4167,17.7253,24.6855,0.007872522884864761,0.28962072813085554
1,2,114,88,53,29.8246,15.0341,19.9795,0.0062339564104297845,0.21932840487941319
2,3,67,132,48,31.1045,21.3409,26.5354,0.003706417310657754,0.13669654769735592
3,4,146,65,54,34.8288,15.3692,22.0449,0.00875221187621727,0.35627371845835143
4,5,82,97,63,31.6951,21.3093,27.0053,0.0045370632984907166,0.1829984196363755
5,6,141,96,38,30.9078,18.9271,16.8283,0.007800912474672187,0.28340944983208016
6,7,40,215,25,34.075,28.186,21.4605,0.0023626970750817828,0.09275742724096167
7,8,47,134,53,28.8936,26.4104,26.7662,0.0024919154880653866,0.08850147197160484
8,9,182,48,41,31.6868,13.6458,20.6126,0.010308261032863385,0.3805957545289898
9,10,187,70,46,30.6952,10.6286,20.4234,0.010269123791646156,0.3845745970619379
10,11,44,99,77,34.2045,18.7879,28.8396,0.002614632945045956,0.10427686052955734
11,12,49,70,57,37.3061,21.8714,30.2267,0.003019154114122495,0.13116032611869158
12,13,40,153,44,30.35,16.1699,20.7958,0.002190941609851015,0.07770635311673844
13,14,53,114,70,32.5472,18.5351,27.1837,0.0029972110271438914,0.11939943503765468
14,15,152,118,26,35.3684,22.0085,22.0714,0.009254244042081099,0.3737975378624316
15,16,68,86,62,33.3382,18.5116,29.4293,0.003915918705209754,0.1546906721664365
16,17,85,140,60,34.2,16.1571,25.1467,0.005083145210258695,0.20044895791762438
17,18,108,85,51,34.5926,19.0588,24.1409,0.00646098374288599,0.2628866324586165
18,19,127,106,43,27.1024,9.9057,15.5111,0.006519021585159704,0.21084905625405512
19,20,116,98,45,33.5431,23.5714,26.6154,0.006753954055965743,0.26991304983506365
20,21,195,98,9,32.8513,17.8367,23.7188,0.011224956575476251,0.44044597603883207
21,22,185,62,29,29.6378,14.1452,21.6526,0.009980661573331828,0.350738272808026
22,23,67,126,50,25.3134,15.8095,24.3268,0.0032279323501899974,0.1082661176749725
23,24,22,108,64,19.3182,18.4352,21.2632,0.0008956789665690734,0.026940666763638047
24,25,111,133,22,27.9099,22.5113,19.087,0.005773217088384487,0.18865199064662383
25,26,26,136,70,18.1923,21.7426,23.2826,0.001030892812540157,0.025825072673618
26,27,278,32,4,30.482,14.5938,19.7097,0.015206973487231988,0.5528010127045484
27,28,110,107,36,31.8455,13.2056,21.1714,0.006303857955595671,0.2286933121990489
28,29,99,136,53,31.697,16.875,20.4167,0.005604367814952783,0.20574025601027282
29,30,36,114,61,27.3889,21.6404,25.75,0.001835553209849636,0.0637560321828232
30,31,156,97,38,35.6154,13.8763,20.8866,0.009552898265606239,0.38876524413376606
31,32,247,14,6,29.5789,15.5,19.7586,0.013316721205672153,0.46591616665328617
32,33,94,97,51,38.2872,17.2784,22.5217,0.005986966822998783,0.264125377447182
33,34,51,140,54,36.0196,19.0214,26.6387,0.003109676415154229,0.13095053831787037
34,35,59,177,35,35.0,19.8531,24.4324,0.0036125368322881264,0.13988145889320946
35,36,118,75,63,34.8305,17.1333,25.4012,0.007156405173934019,0.28689631483688327
36,37,65,171,45,36.1846,19.7661,27.9179,0.003980982748874689,0.16563771211521086
37,38,31,141,60,27.7742,20.0993,22.9714,0.0016056605714665489,0.053202584793476
38,39,91,115,50,31.967,20.6174,20.0397,0.005126595758762311,0.19971613141402916
39,40,72,146,30,34.0278,20.0548,23.6436,0.004214968377852716,0.1723559391324697
40,41,18,79,92,35.2222,18.4937,25.9331,0.0010410525391382382,0.0483131606621958
41,42,51,78,94,33.7255,15.2179,24.4872,0.0030356040315054882,0.11709865818280292
42,43,76,164,44,35.0658,21.4207,23.3659,0.004595341165672021,0.1858367201964262
43,44,117,102,39,35.5556,15.2353,26.7422,0.0071109347385610675,0.2897203038258499
44,45,147,91,41,32.0136,14.044,19.984,0.008424424590245548,0.31682909201149273
45,46,100,206,12,27.52,22.6408,22.411,0.005078275519894081,0.17702973211258385
46,47,56,159,50,37.1607,21.6604,21.7143,0.0035042134507924897,0.15084849339883466
47,48,34,213,17,33.6765,27.0751,23.3425,0.0019866774376927966,0.07621098947843802
